server,absolute_path,size_bytes,sha256,mtime,experiment,reason_not_in_git
Qwen,/data/zypan/worktrees/hadamard-init-dense-oracle-v1-qwen/experiments/QWEN_TEACHER_FORCED_REPLAY_MECHANISM_CAPTURE_V1/token_level_metrics.csv,1247473480,fb166f7a35256acb3959dcb0e828d22e09c0fca228e90622b44168fd03f182b8,2026-09-24T09:42:08+08:00,QWEN_TEACHER_FORCED_REPLAY_MECHANISM_CAPTURE_V1,"Raw 3.7-million-row token-condition trace; compact summaries archived"
Qwen,/data/zypan/worktrees/hadamard-init-dense-oracle-v1-qwen/experiments/QWEN_ROTATION_AWARE_M5_VALIDATION_V1/component_replay/,8878090082,"NOT_COMPUTED_DIRECTORY; manifest_sha256=8320f73dbae84ef1def27fb9e61def0520d0380930b834417e1c8e9881e7b653",2026-09-24T11:24:04+08:00,QWEN_ROTATION_AWARE_M5_VALIDATION_V1,"Raw component replay directory; avoided multi-GB read on production server"
Qwen,/data/zypan/worktrees/hadamard-init-dense-oracle-v1-qwen/experiments/QWEN_AIME26_LAST20_SEED1_DENSE_E2E_V1/outputs/,17595607,"NOT_COMPUTED_DIRECTORY; artifact_manifest_sha256=4ed985216fc2c7915e0502c9b3d16ebb79001529760f87cb97a96185ef038db2",2026-09-26T07:17:01+08:00,QWEN_AIME26_LAST20_SEED1_DENSE_E2E_V1,"Raw generations; every output file is represented in the archived manifest"
Qwen,/data/zypan/worktrees/hadamard-init-dense-oracle-v1-qwen/results/rotation/qwen_dense_orthogonal_oracle_v1/training/dense_state/best_dense_state_seed0.pt,789554,a3597986bf9fd57e8af8dfcd13cbb8b443e1e641459444510a41ee556955074c,2026-09-22T10:21:48+08:00,QWEN_DENSE_TRAINING_CHECKPOINT_PROVENANCE_AUDIT_V1,"Checkpoint binary excluded by policy"
Qwen,/data/zypan/worktrees/hadamard-init-dense-oracle-v1-qwen/results/rotation/qwen_dense_orthogonal_oracle_v1/training/dense_functional/best_dense_functional_seed0.pt,789694,758a5ab138d23fa5dae5666cd51039550ec662b565d9b4f4a3dcbb50ca61cc4c,2026-09-22T10:29:32+08:00,QWEN_DENSE_TRAINING_CHECKPOINT_PROVENANCE_AUDIT_V1,"Checkpoint binary excluded by policy"
Qwen,/data/zypan/worktrees/hadamard-init-dense-oracle-v1-qwen/experiments/QWEN_RECURRENT_DENSE_C5_C6_V1/checkpoints/c5/best_c5_seed0.pt,789494,27ee9619648dd5e507832a2bc3a8dba7acba69859436a543d3cd57082c7aedde,2026-09-26T17:41:14+08:00,QWEN_RECURRENT_DENSE_C5_C6_V1,"Checkpoint binary excluded by policy"
Qwen,/data/zypan/worktrees/hadamard-init-dense-oracle-v1-qwen/experiments/QWEN_RECURRENT_DENSE_C5_C6_V1/checkpoints/c5/failed_attempt1_exposure56_a3e6ac21512c.pt,789494,a3e6ac21512c47348b67d2d64ecd13b62ef74b9d0ca8a9ef71788a7702011928,2026-09-26T15:33:32+08:00,QWEN_RECURRENT_DENSE_C5_C6_V1,"Failed-attempt checkpoint binary excluded by policy"
Qwen,/data/zypan/worktrees/hadamard-init-dense-oracle-v1-qwen/experiments/QWEN_RECURRENT_DENSE_C5_C6_V1/checkpoints/c5/failed_attempt2_exposure56_646d6cb0687c.pt,789494,646d6cb0687c97ee21136706ed5edb8de9b27c7c341994f84dfcc40b3bca3b86,2026-09-26T16:41:40+08:00,QWEN_RECURRENT_DENSE_C5_C6_V1,"Failed-attempt checkpoint binary excluded by policy"
Ling,/data01/user2/worktrees/hadamard-init-dense-oracle-v1-ling/results/rotation/ling_dense_orthogonal_oracle_v1/training/dense_state/best_dense_state_seed0.pt,592917,dad5086c51057dd3b6965e99cb0f42774718061e18d0e1e55e77a94d65ce8318,NOT_RECORDED,LING_DENSE_TRAINING_SGLANG_PROVENANCE_AUDIT_V1,"Checkpoint binary excluded by policy"
Ling,/data01/user2/worktrees/hadamard-init-dense-oracle-v1-ling/results/rotation/ling_dense_orthogonal_oracle_v1/training/dense_functional/best_dense_functional_seed0.pt,593037,65f21f18d1c4080cf8e689ef37389fc3c95c7f34afab71dcde3518d164e5297c,NOT_RECORDED,LING_DENSE_TRAINING_SGLANG_PROVENANCE_AUDIT_V1,"Checkpoint binary excluded by policy"
