layer,stream,kernel_lag,rotation,commutator_relative_fro,weight_std,weight_min,weight_max
0,q,0,HADAMARD,1.414179605239197,0.0353698767721653,-0.33984375,0.150390625
0,q,0,RANDOM_ORTHOGONAL_0,1.4109854501497494,0.0353698767721653,-0.33984375,0.150390625
0,q,0,RANDOM_ORTHOGONAL_1,1.4056153040083077,0.0353698767721653,-0.33984375,0.150390625
0,q,0,RANDOM_ORTHOGONAL_2,1.4234988940196684,0.0353698767721653,-0.33984375,0.150390625
0,q,1,HADAMARD,1.406498730095976,0.09234648197889328,-0.345703125,0.5078125
0,q,1,RANDOM_ORTHOGONAL_0,1.4087967902789025,0.09234648197889328,-0.345703125,0.5078125
0,q,1,RANDOM_ORTHOGONAL_1,1.39890802268033,0.09234648197889328,-0.345703125,0.5078125
0,q,1,RANDOM_ORTHOGONAL_2,1.3934484778584784,0.09234648197889328,-0.345703125,0.5078125
0,q,2,HADAMARD,1.3964255320618866,0.04754773899912834,-0.2373046875,0.1298828125
0,q,2,RANDOM_ORTHOGONAL_0,1.3982708042329381,0.04754773899912834,-0.2373046875,0.1298828125
0,q,2,RANDOM_ORTHOGONAL_1,1.3827612916352496,0.04754773899912834,-0.2373046875,0.1298828125
0,q,2,RANDOM_ORTHOGONAL_2,1.389490384152351,0.04754773899912834,-0.2373046875,0.1298828125
0,q,3,HADAMARD,1.406228820029285,0.0778917521238327,-0.23046875,0.23046875
0,q,3,RANDOM_ORTHOGONAL_0,1.4012408972114445,0.0778917521238327,-0.23046875,0.23046875
0,q,3,RANDOM_ORTHOGONAL_1,1.3999731543137026,0.0778917521238327,-0.23046875,0.23046875
0,q,3,RANDOM_ORTHOGONAL_2,1.4149964748142956,0.0778917521238327,-0.23046875,0.23046875
0,k,0,HADAMARD,1.4130411889482055,0.01642238348722458,-0.052734375,0.06494140625
0,k,0,RANDOM_ORTHOGONAL_0,1.4171912425152975,0.01642238348722458,-0.052734375,0.06494140625
0,k,0,RANDOM_ORTHOGONAL_1,1.4088491408872192,0.01642238348722458,-0.052734375,0.06494140625
0,k,0,RANDOM_ORTHOGONAL_2,1.4210244870460773,0.01642238348722458,-0.052734375,0.06494140625
0,k,1,HADAMARD,1.4135894076295774,0.031299181282520294,-0.1181640625,0.1025390625
0,k,1,RANDOM_ORTHOGONAL_0,1.4135910122674198,0.031299181282520294,-0.1181640625,0.1025390625
0,k,1,RANDOM_ORTHOGONAL_1,1.4159820915620278,0.031299181282520294,-0.1181640625,0.1025390625
0,k,1,RANDOM_ORTHOGONAL_2,1.4176936489576384,0.031299181282520294,-0.1181640625,0.1025390625
0,k,2,HADAMARD,1.4137922851803482,0.06038452684879303,-0.169921875,0.1552734375
0,k,2,RANDOM_ORTHOGONAL_0,1.4141215239566547,0.06038452684879303,-0.169921875,0.1552734375
0,k,2,RANDOM_ORTHOGONAL_1,1.4148579330281275,0.06038452684879303,-0.169921875,0.1552734375
0,k,2,RANDOM_ORTHOGONAL_2,1.4200401163417908,0.06038452684879303,-0.169921875,0.1552734375
0,k,3,HADAMARD,1.4091264329655122,0.08622615039348602,-0.25390625,0.2275390625
0,k,3,RANDOM_ORTHOGONAL_0,1.4206102766861157,0.08622615039348602,-0.25390625,0.2275390625
0,k,3,RANDOM_ORTHOGONAL_1,1.394670018416701,0.08622615039348602,-0.25390625,0.2275390625
0,k,3,RANDOM_ORTHOGONAL_2,1.415803043650466,0.08622615039348602,-0.25390625,0.2275390625
