problem_id,condition_label,v4_correct,first_divergence_token,post_divergence_length,repeat_onset_4gram_minus_t_div,repeat_onset_8gram_minus_t_div,repeat_onset_16gram_minus_t_div,post_div_rep16_rate,answer_commitment_token,t_commit_minus_t_div,eos_generated,length_limit,failure_type
aime26_01,FP_STATE,True,0,1816,93,159,416,0.03553581343697946,1810,1810,True,False,
aime26_01,INT8_R128,True,2,3508,43,164,1024,0.06842255940452334,3504,3502,True,False,
aime26_01,INT8_R128_VALUE_HADAMARD,True,2,3531,22,233,497,0.03839590443686007,3527,3525,True,False,
aime26_02,FP_STATE,True,0,11127,63,71,600,0.026187904967602593,11121,11121,True,False,
aime26_02,INT8_R128,True,33,43715,106,145,145,0.046750572082379864,43743,43710,True,False,
aime26_02,INT8_R128_VALUE_HADAMARD,True,88,13772,75,198,295,0.03699934578759904,13854,13766,True,False,
aime26_03,FP_STATE,True,0,11960,50,87,369,0.026203432398493095,11957,11957,True,False,
aime26_03,INT8_R128,True,61,95030,54,267,589,0.04640319949481661,95087,95026,True,False,
aime26_03,INT8_R128_VALUE_HADAMARD,True,80,29913,86,503,749,0.043915981002073716,29989,29909,True,False,
aime26_04,FP_STATE,True,0,18253,49,88,178,0.10275249479109551,18247,18247,True,False,
aime26_04,INT8_R128,False,8,47091,41,63,1419,0.150203925567168,47084,47076,True,False,repetition_loop
aime26_04,INT8_R128_VALUE_HADAMARD,True,8,13951,41,63,2499,0.08366819747416762,13954,13946,True,False,
aime26_05,FP_STATE,True,0,13792,20,319,796,0.03520360020323728,13787,13787,True,False,
aime26_05,INT8_R128,True,33,8983,23,188,568,0.09422390722569135,9011,8978,True,False,
aime26_05,INT8_R128_VALUE_HADAMARD,True,51,7773,69,87,930,0.042536736272235115,7820,7769,True,False,
aime26_06,FP_STATE,True,0,12353,74,74,74,0.1637218349813584,12346,12346,True,False,
aime26_06,INT8_R128,True,99,17749,58,85,251,0.15349047028307206,17843,17744,True,False,
aime26_06,INT8_R128_VALUE_HADAMARD,True,32,12119,24,129,129,0.15614672835426305,12144,12112,True,False,
aime26_07,FP_STATE,False,0,773,42,155,178,0.009234828496042216,770,770,True,False,semantic_drift
aime26_07,INT8_R128,False,55,1586,52,142,244,0.008274984086569064,1638,1583,True,False,semantic_drift
aime26_07,INT8_R128_VALUE_HADAMARD,False,47,2683,65,316,1672,0.007871064467766116,2726,2679,True,False,oscillation
aime26_08,FP_STATE,True,0,19784,43,96,614,0.10860438059588244,19772,19772,True,False,
aime26_08,INT8_R128,True,26,30909,37,81,586,0.063119052243154,30924,30898,True,False,
aime26_08,INT8_R128_VALUE_HADAMARD,True,26,19180,37,81,388,0.10446125750065223,19196,19170,True,False,
aime26_09,FP_STATE,False,0,51379,46,167,3853,0.020987462035667002,51374,51374,True,False,oscillation
aime26_09,INT8_R128,False,52,261388,122,838,838,0.08852482850179628,,,False,True,termination_failure
aime26_09,INT8_R128_VALUE_HADAMARD,False,5,261435,27,874,1803,0.006636829622829164,,,False,True,termination_failure
aime26_10,FP_STATE,False,0,80352,73,97,692,0.05052466484932223,80348,80348,True,False,oscillation
aime26_10,INT8_R128,False,111,261398,15,129,658,0.030005776963306717,,,False,True,termination_failure
aime26_10,INT8_R128_VALUE_HADAMARD,True,8,209337,120,146,248,0.06751320931388005,209340,209332,True,False,
aime26_11,FP_STATE,False,0,50419,65,737,2263,0.030453932227600983,50414,50414,True,False,oscillation
aime26_11,INT8_R128,False,45,79152,26,208,1796,0.00763233380087696,79193,79148,True,False,oscillation
aime26_11,INT8_R128_VALUE_HADAMARD,False,32,261424,218,498,2187,0.015963490162924764,206762,206730,False,True,termination_failure
aime26_12,FP_STATE,True,0,25023,39,194,670,0.04106685860524632,25019,25019,True,False,
aime26_12,INT8_R128,False,49,261394,94,170,218,0.054193336113459764,,,False,True,termination_failure
aime26_12,INT8_R128_VALUE_HADAMARD,False,49,261394,20,117,1149,0.011485237911232349,,,False,True,termination_failure
aime26_13,FP_STATE,True,0,43703,57,57,365,0.08343252151620582,43698,43698,True,False,
aime26_13,INT8_R128,False,187,261258,77,130,238,0.031112795366765807,248243,248056,False,True,termination_failure
aime26_13,INT8_R128_VALUE_HADAMARD,False,31,261414,25,25,218,0.018492802191286118,,,False,True,termination_failure
aime26_14,FP_STATE,False,0,261523,12,138,148,0.23709790905058353,90751,90751,False,True,repetition_loop
aime26_14,INT8_R128,False,3,261520,22,113,113,0.32385614041796523,,,False,True,repetition_loop
aime26_14,INT8_R128_VALUE_HADAMARD,False,11,147420,55,153,673,0.0697873206471965,147427,147416,True,False,oscillation
aime26_15,FP_STATE,False,0,125236,82,252,482,0.019086255500275512,125018,125018,True,False,oscillation
aime26_15,INT8_R128,False,49,261306,65,129,852,0.3698711398402547,115076,115027,False,True,repetition_loop
aime26_15,INT8_R128_VALUE_HADAMARD,False,19,211944,66,87,943,0.03292140292267694,211853,211834,True,False,oscillation
aime26_16,FP_STATE,True,0,9789,70,70,1243,0.03294454675670145,9767,9767,True,False,
aime26_16,INT8_R128,True,57,12868,71,113,1209,0.021862600171166265,12920,12863,True,False,
aime26_16,INT8_R128_VALUE_HADAMARD,True,57,5233,74,89,1161,0.009582215408202376,5277,5220,True,False,
aime26_17,FP_STATE,False,0,108027,58,179,269,0.037264378032070514,108019,108019,True,False,oscillation
aime26_17,INT8_R128,False,38,261235,82,82,753,0.016560753387948855,245611,245573,False,True,termination_failure
aime26_17,INT8_R128_VALUE_HADAMARD,False,46,261227,119,258,824,0.003786196652527449,,,False,True,termination_failure
aime26_18,FP_STATE,True,0,40553,55,55,163,0.05491144111697666,40533,40533,True,False,
aime26_18,INT8_R128,False,93,261386,52,449,1671,0.010567354450187664,,,False,True,termination_failure
aime26_18,INT8_R128_VALUE_HADAMARD,False,1,261478,94,202,1052,0.014166440375884925,,,False,True,termination_failure
aime26_19,FP_STATE,True,0,15767,69,242,390,0.015871000507872015,15762,15762,True,False,
aime26_19,INT8_R128,False,35,50395,72,255,3426,0.010400952759031362,50425,50390,True,False,oscillation
aime26_19,INT8_R128_VALUE_HADAMARD,True,32,25473,52,332,386,0.011077068112184774,25500,25468,True,False,
aime26_20,FP_STATE,True,0,12199,63,126,245,0.04530531845042679,12192,12192,True,False,
aime26_20,INT8_R128,True,17,2486,77,90,262,0.03358963982193444,2496,2479,True,False,
aime26_20,INT8_R128_VALUE_HADAMARD,True,17,2788,47,87,337,0.060584204832311576,2798,2781,True,False,
aime26_21,FP_STATE,True,0,27745,104,116,231,0.08907320591417238,27740,27740,True,False,
aime26_21,INT8_R128,False,166,261387,22,39,145,0.04975284269164256,,,False,True,termination_failure
aime26_21,INT8_R128_VALUE_HADAMARD,True,3,42805,119,223,1827,0.021173171301706005,42804,42801,True,False,
aime26_22,FP_STATE,True,0,31683,56,66,847,0.12937350006315523,31676,31676,True,False,
aime26_22,INT8_R128,False,39,261466,29,29,800,0.008456651533174476,261233,261194,False,True,termination_failure
aime26_22,INT8_R128_VALUE_HADAMARD,True,39,123895,29,29,1391,0.11790442363577656,123929,123890,True,False,
aime26_23,FP_STATE,True,0,34732,54,275,693,0.04562606215974883,34725,34725,True,False,
aime26_23,INT8_R128,False,4,261536,94,387,1316,0.29758604471533834,,,False,True,repetition_loop
aime26_23,INT8_R128_VALUE_HADAMARD,False,59,261481,16,359,793,0.05243129125775436,,,False,True,termination_failure
aime26_24,FP_STATE,True,0,33676,15,25,341,0.15106503074774963,33669,33669,True,False,
aime26_24,INT8_R128,False,39,261485,37,37,113,0.04738975790721689,258513,258474,False,True,termination_failure
aime26_24,INT8_R128_VALUE_HADAMARD,True,165,52283,39,39,171,0.060151526746766666,52442,52277,True,False,
aime26_25,FP_STATE,True,0,37880,47,143,982,0.016268321669087548,37876,37876,True,False,
aime26_25,INT8_R128,False,2,261470,32,72,1500,0.3731655543018875,,,False,True,repetition_loop
aime26_25,INT8_R128_VALUE_HADAMARD,True,7,146100,35,151,595,0.013731731526166273,146103,146096,True,False,
