run_id,process_id,condition,document_id,panel_index,process_repeat,random_seed,physical_gpu_index,gpu_uuid,future_kl_auc,trajectory_length,token_count,termination_reason,nonfinite,trajectory_statistics_sha256,runtime_manifest_sha256,kernel_configuration_sha256,generation_configuration_sha256
doc00_Dense_State_r00_gpu2,1079198,Dense_State,wikitext2raw-test-000,0,0,20260922,2,GPU-7d6246ed-c3d1-75bc-c2c7-d02eb2882cca,0.016838791853506264,128,1024,fixed_teacher_forced_horizon_128,0,e50453bee0f30847ecdd01c8a306a7363ecee80043331b2b015374d2eac3b77b,414a130b9822d37521def5ca988b19532f74e3a3eadfe0eada712aa6463b63cf,a9d5ffa5e13716f19a659facec84bbb0c655038aa38e0c2fef86595334f69023,332ae114a76ac46a7d3480c20e4e121a600cdceb208b3609478f2bbcda77310e
doc00_Dense_State_r01_gpu2,1080846,Dense_State,wikitext2raw-test-000,0,1,20260922,2,GPU-7d6246ed-c3d1-75bc-c2c7-d02eb2882cca,0.016838791853506264,128,1024,fixed_teacher_forced_horizon_128,0,e50453bee0f30847ecdd01c8a306a7363ecee80043331b2b015374d2eac3b77b,414a130b9822d37521def5ca988b19532f74e3a3eadfe0eada712aa6463b63cf,a9d5ffa5e13716f19a659facec84bbb0c655038aa38e0c2fef86595334f69023,332ae114a76ac46a7d3480c20e4e121a600cdceb208b3609478f2bbcda77310e
doc00_Dense_State_r02_gpu2,1082851,Dense_State,wikitext2raw-test-000,0,2,20260922,2,GPU-7d6246ed-c3d1-75bc-c2c7-d02eb2882cca,0.016838791853506264,128,1024,fixed_teacher_forced_horizon_128,0,e50453bee0f30847ecdd01c8a306a7363ecee80043331b2b015374d2eac3b77b,414a130b9822d37521def5ca988b19532f74e3a3eadfe0eada712aa6463b63cf,a9d5ffa5e13716f19a659facec84bbb0c655038aa38e0c2fef86595334f69023,332ae114a76ac46a7d3480c20e4e121a600cdceb208b3609478f2bbcda77310e
doc00_Dense_State_r03_gpu2,1084375,Dense_State,wikitext2raw-test-000,0,3,20260922,2,GPU-7d6246ed-c3d1-75bc-c2c7-d02eb2882cca,0.016838791853506264,128,1024,fixed_teacher_forced_horizon_128,0,e50453bee0f30847ecdd01c8a306a7363ecee80043331b2b015374d2eac3b77b,414a130b9822d37521def5ca988b19532f74e3a3eadfe0eada712aa6463b63cf,a9d5ffa5e13716f19a659facec84bbb0c655038aa38e0c2fef86595334f69023,332ae114a76ac46a7d3480c20e4e121a600cdceb208b3609478f2bbcda77310e
doc00_Hadamard_r00_gpu2,1068804,Hadamard,wikitext2raw-test-000,0,0,20260922,2,GPU-7d6246ed-c3d1-75bc-c2c7-d02eb2882cca,0.014639002699991615,128,1024,fixed_teacher_forced_horizon_128,0,b52b5e16f4a8fdeed01dda4ef8bfbe8417be69d5d84c7bd307e2ec947e383e4c,414a130b9822d37521def5ca988b19532f74e3a3eadfe0eada712aa6463b63cf,a9d5ffa5e13716f19a659facec84bbb0c655038aa38e0c2fef86595334f69023,332ae114a76ac46a7d3480c20e4e121a600cdceb208b3609478f2bbcda77310e
doc00_Hadamard_r01_gpu2,1071046,Hadamard,wikitext2raw-test-000,0,1,20260922,2,GPU-7d6246ed-c3d1-75bc-c2c7-d02eb2882cca,0.014639002699991615,128,1024,fixed_teacher_forced_horizon_128,0,b52b5e16f4a8fdeed01dda4ef8bfbe8417be69d5d84c7bd307e2ec947e383e4c,414a130b9822d37521def5ca988b19532f74e3a3eadfe0eada712aa6463b63cf,a9d5ffa5e13716f19a659facec84bbb0c655038aa38e0c2fef86595334f69023,332ae114a76ac46a7d3480c20e4e121a600cdceb208b3609478f2bbcda77310e
doc00_Hadamard_r02_gpu2,1073016,Hadamard,wikitext2raw-test-000,0,2,20260922,2,GPU-7d6246ed-c3d1-75bc-c2c7-d02eb2882cca,0.014639002699991615,128,1024,fixed_teacher_forced_horizon_128,0,b52b5e16f4a8fdeed01dda4ef8bfbe8417be69d5d84c7bd307e2ec947e383e4c,414a130b9822d37521def5ca988b19532f74e3a3eadfe0eada712aa6463b63cf,a9d5ffa5e13716f19a659facec84bbb0c655038aa38e0c2fef86595334f69023,332ae114a76ac46a7d3480c20e4e121a600cdceb208b3609478f2bbcda77310e
doc00_Hadamard_r03_gpu2,1074856,Hadamard,wikitext2raw-test-000,0,3,20260922,2,GPU-7d6246ed-c3d1-75bc-c2c7-d02eb2882cca,0.014639002699991615,128,1024,fixed_teacher_forced_horizon_128,0,b52b5e16f4a8fdeed01dda4ef8bfbe8417be69d5d84c7bd307e2ec947e383e4c,414a130b9822d37521def5ca988b19532f74e3a3eadfe0eada712aa6463b63cf,a9d5ffa5e13716f19a659facec84bbb0c655038aa38e0c2fef86595334f69023,332ae114a76ac46a7d3480c20e4e121a600cdceb208b3609478f2bbcda77310e
doc00_Hadamard_r04_gpu2,1076311,Hadamard,wikitext2raw-test-000,0,4,20260922,2,GPU-7d6246ed-c3d1-75bc-c2c7-d02eb2882cca,0.014639002699991615,128,1024,fixed_teacher_forced_horizon_128,0,b52b5e16f4a8fdeed01dda4ef8bfbe8417be69d5d84c7bd307e2ec947e383e4c,414a130b9822d37521def5ca988b19532f74e3a3eadfe0eada712aa6463b63cf,a9d5ffa5e13716f19a659facec84bbb0c655038aa38e0c2fef86595334f69023,332ae114a76ac46a7d3480c20e4e121a600cdceb208b3609478f2bbcda77310e
doc00_Native_INT8_r00_gpu2,1058366,Native_INT8,wikitext2raw-test-000,0,0,20260922,2,GPU-7d6246ed-c3d1-75bc-c2c7-d02eb2882cca,0.017744829676775847,128,1024,fixed_teacher_forced_horizon_128,0,6a83ca796ccb17db0e23114d4424068ed74d162fa7e7ecd93a055a53aefcadee,414a130b9822d37521def5ca988b19532f74e3a3eadfe0eada712aa6463b63cf,a9d5ffa5e13716f19a659facec84bbb0c655038aa38e0c2fef86595334f69023,332ae114a76ac46a7d3480c20e4e121a600cdceb208b3609478f2bbcda77310e
