update,exposure,stage,allocated_bytes,reserved_bytes,max_allocated_bytes,max_reserved_bytes,free_bytes,total_bytes
1,8,A0_before_update,17911608320,17928552448,17911608320,17928552448,7192903680,25438126080
1,8,A1_after_input_load,17920128000,18261999616,18204764672,18261999616,6842679296,25438126080
1,8,A3_after_loss_constructed,24161069056,24423432192,24172053504,24423432192,645595136,25438126080
1,8,A2_after_recurrent_rollout,18054703616,24916262912,24834410496,25052577792,144375808,25438126080
1,8,A4_after_backward,18054703616,24916262912,24834410496,25052577792,144375808,25438126080
1,8,A5_after_optimizer_step,18056276992,24916262912,24834410496,25052577792,144375808,25438126080
1,8,A6_after_zero_grad,18055490560,24916262912,24834410496,25052577792,144375808,25438126080
1,8,A7_after_student_state_detach,18055490560,24916262912,24834410496,25052577792,144375808,25438126080
1,8,A8_after_recurrent_cache_cleanup,17957448704,24916262912,24834410496,25052577792,144375808,25438126080
1,8,A9_after_logging_cleanup,17957448192,24916262912,24834410496,25052577792,144375808,25438126080
1,8,A10_after_gc,17957448192,24916262912,24834410496,25052577792,144375808,25438126080
1,8,A11_after_optional_empty_cache,17957448192,18022924288,24834410496,25052577792,7037714432,25438126080
1,8,A12_end_of_update,17957448192,18022924288,24834410496,25052577792,7037714432,25438126080
2,16,A0_before_update,17957448192,18022924288,17957448192,18022924288,7037714432,25438126080
2,16,A1_after_input_load,17957448192,18303942656,18234686464,18303942656,6756696064,25438126080
2,16,A3_after_loss_constructed,24023705600,24423432192,24163820544,24423432192,637206528,25438126080
2,16,A2_after_recurrent_rollout,18056276480,24918360064,24806492160,25052577792,142278656,25438126080
2,16,A4_after_backward,18056276480,24918360064,24806492160,25052577792,142278656,25438126080
2,16,A5_after_optimizer_step,18056276992,24918360064,24806492160,25052577792,142278656,25438126080
2,16,A6_after_zero_grad,18055490560,24918360064,24806492160,25052577792,142278656,25438126080
2,16,A7_after_student_state_detach,18055490560,24918360064,24806492160,25052577792,142278656,25438126080
2,16,A8_after_recurrent_cache_cleanup,17957448704,24918360064,24806492160,25052577792,142278656,25438126080
2,16,A9_after_logging_cleanup,17957448192,24918360064,24806492160,25052577792,142278656,25438126080
2,16,A10_after_gc,17957448192,24918360064,24806492160,25052577792,142278656,25438126080
2,16,A11_after_optional_empty_cache,17957448192,18035507200,24806492160,25052577792,7025131520,25438126080
2,16,A12_end_of_update,17957448192,18035507200,24806492160,25052577792,7025131520,25438126080
3,24,A0_before_update,17957448192,18035507200,17957448192,18035507200,7025131520,25438126080
3,24,A1_after_input_load,17957448192,18261999616,18182748160,18261999616,6798639104,25438126080
3,24,A3_after_loss_constructed,24023705600,24423432192,24163820544,24423432192,637206528,25438126080
3,24,A2_after_recurrent_rollout,18056276480,24918360064,24718018560,25052577792,142278656,25438126080
3,24,A4_after_backward,18056276480,24918360064,24718018560,25052577792,142278656,25438126080
3,24,A5_after_optimizer_step,18056276992,24918360064,24718018560,25052577792,142278656,25438126080
3,24,A6_after_zero_grad,18055490560,24918360064,24718018560,25052577792,142278656,25438126080
3,24,A7_after_student_state_detach,18055490560,24918360064,24718018560,25052577792,142278656,25438126080
3,24,A8_after_recurrent_cache_cleanup,17957448704,24918360064,24718018560,25052577792,142278656,25438126080
3,24,A9_after_logging_cleanup,17957448192,24918360064,24718018560,25052577792,142278656,25438126080
3,24,A10_after_gc,17957448192,24918360064,24718018560,25052577792,142278656,25438126080
3,24,A11_after_optional_empty_cache,17957448192,18033410048,24718018560,25052577792,7027228672,25438126080
3,24,A12_end_of_update,17957448192,18033410048,24718018560,25052577792,7027228672,25438126080
4,32,A0_before_update,17957448192,18033410048,17957448192,18033410048,7027228672,25438126080
4,32,A1_after_input_load,17957448192,18280873984,18217652224,18280873984,6779764736,25438126080
4,32,A3_after_loss_constructed,24112179200,24423432192,24163820544,24423432192,637206528,25438126080
4,32,A2_after_recurrent_rollout,18056276480,24897388544,24747509760,25052577792,163250176,25438126080
4,32,A4_after_backward,18056276480,24897388544,24747509760,25052577792,163250176,25438126080
4,32,A5_after_optimizer_step,18056276992,24897388544,24747509760,25052577792,163250176,25438126080
4,32,A6_after_zero_grad,18055490560,24897388544,24747509760,25052577792,163250176,25438126080
4,32,A7_after_student_state_detach,18055490560,24897388544,24747509760,25052577792,163250176,25438126080
4,32,A8_after_recurrent_cache_cleanup,17957448704,24897388544,24747509760,25052577792,163250176,25438126080
4,32,A9_after_logging_cleanup,17957448192,24897388544,24747509760,25052577792,163250176,25438126080
4,32,A10_after_gc,17957448192,24897388544,24747509760,25052577792,163250176,25438126080
4,32,A11_after_optional_empty_cache,17957448192,18033410048,24747509760,25052577792,7027228672,25438126080
4,32,A12_end_of_update,17957448192,18033410048,24747509760,25052577792,7027228672,25438126080
5,40,A0_before_update,17957448192,18033410048,17957448192,18033410048,7027228672,25438126080
5,40,A1_after_input_load,17957448192,18347982848,18266329600,18347982848,6712655872,25438126080
