metric,definition,future_KL_pearson,future_KL_spearman,out_proj_pearson,out_proj_spearman
M1_state_error,state reconstruction magnitude,-0.03030013778909917,0.01287001287001287,0.5509662227122889,0.6362934362934363
M2_readout_error,readout error magnitude,-0.17720027941024302,-0.20205920205920205,-0.3542687843885744,-0.28906048906048903
M3_abs_dot,absolute clean-context interaction,-0.18812313768698655,-0.49935649935649934,-0.4947061575692096,-0.6082368082368083
M4_abs_cosine,absolute cosine interaction,-0.2096804420679765,-0.5724581724581724,-0.4632173787127033,-0.3804375804375804
M5_abs_den_shift,RMS denominator shift,-0.15144311906026597,-0.5268983268983269,-0.14790084733960135,0.04607464607464608
M6_first_order_den_predictor,first-order denominator predictor,-0.19629122235131585,-0.5508365508365508,-0.3527397342470948,0.022136422136422137
M7_orth_ratio,orthogonal residual ratio,0.2039022308664203,0.5531531531531532,0.428080274761623,0.40051480051480054
M8a_M2rel_cosabs,hybrid readout-relative cosine,-0.19624250883569255,-0.5287001287001287,-0.3629789772124994,0.011325611325611325
M8b_M5abs,hybrid denominator shift,-0.15144311906026597,-0.5268983268983269,-0.14790084733960135,0.04607464607464608
M8c_M1rel_cosabs,hybrid state-relative cosine,-0.20848756470519425,-0.5585585585585585,-0.43775162726744743,-0.35032175032175034
