metric,predicts_R_gt_C,total,accuracy
M0_raw_state_error,3,9,0.3333333333333333
M0_raw_state_error_rel,3,9,0.3333333333333333
M1_qTE_norm,9,9,1.0
M2_tangent_norm,9,9,1.0
M2_tangent_frac,9,9,1.0
M3_RMS_linearized_norm,0,9,0.0
M4_post_gate_linearized_norm,9,9,1.0
M5_out_proj_linearized_norm,9,9,1.0
M5_gain,0,9,0.0
M5_state,9,9,1.0
R_current_q_G0,9,9,1.0
R_current_q_G1,0,9,0.0
R_current_q_G2,9,9,1.0
R_current_q_G3,9,9,1.0
R_past16_G3,9,9,1.0
R_past64_G3,9,9,1.0
R_past256_G3,9,9,1.0
R_pastEMA_G3,9,9,1.0
