mode,unit_id,condition,risk_variant,risk_value,information_class,future_KL_AUC
formal,test/algebra/1332.json|64,R,R_current_q_G0,0.0029990892412499193,DEPLOYABLE_CURRENT_OR_PAST,0.0002503266632394594
formal,test/algebra/1332.json|64,R,R_current_q_G1,2.060258761048317,DEPLOYABLE_CURRENT_OR_PAST,0.0002503266632394594
formal,test/algebra/1332.json|64,R,R_current_q_G2,1.8509446512907743,DEPLOYABLE_CURRENT_OR_PAST,0.0002503266632394594
formal,test/algebra/1332.json|64,R,R_current_q_G3,2.0769384214654565,DEPLOYABLE_CURRENT_OR_PAST,0.0002503266632394594
formal,test/algebra/1332.json|64,R,R_past16_G3,1.9421088867384242,DEPLOYABLE_CURRENT_OR_PAST,0.0002503266632394594
formal,test/algebra/1332.json|64,R,R_past64_G3,2.0512629103632496,DEPLOYABLE_CURRENT_OR_PAST,0.0002503266632394594
formal,test/algebra/1332.json|64,R,R_past256_G3,2.0512629103632496,DEPLOYABLE_CURRENT_OR_PAST,0.0002503266632394594
formal,test/algebra/1332.json|64,R,R_pastEMA_G3,1.6031203102320433,DEPLOYABLE_CURRENT_OR_PAST,0.0002503266632394594
formal,test/algebra/1332.json|64,R,R_future_oracle_G3,2.0631173358560773,ORACLE_FUTURE_NOT_DEPLOYABLE,0.0002503266632394594
formal,test/algebra/1332.json|64,C,R_current_q_G0,0.00012255723256515694,DEPLOYABLE_CURRENT_OR_PAST,0.00011306085905189798
formal,test/algebra/1332.json|64,C,R_current_q_G1,10.174553042277694,DEPLOYABLE_CURRENT_OR_PAST,0.00011306085905189798
formal,test/algebra/1332.json|64,C,R_current_q_G2,0.8317650095705176,DEPLOYABLE_CURRENT_OR_PAST,0.00011306085905189798
formal,test/algebra/1332.json|64,C,R_current_q_G3,0.6090530954970745,DEPLOYABLE_CURRENT_OR_PAST,0.00011306085905189798
formal,test/algebra/1332.json|64,C,R_past16_G3,0.6390028609612273,DEPLOYABLE_CURRENT_OR_PAST,0.00011306085905189798
formal,test/algebra/1332.json|64,C,R_past64_G3,0.6576858534931995,DEPLOYABLE_CURRENT_OR_PAST,0.00011306085905189798
formal,test/algebra/1332.json|64,C,R_past256_G3,0.6576858534931995,DEPLOYABLE_CURRENT_OR_PAST,0.00011306085905189798
formal,test/algebra/1332.json|64,C,R_pastEMA_G3,0.5565807997718366,DEPLOYABLE_CURRENT_OR_PAST,0.00011306085905189798
formal,test/algebra/1332.json|64,C,R_future_oracle_G3,0.6372737752127478,ORACLE_FUTURE_NOT_DEPLOYABLE,0.00011306085905189798
formal,test/algebra/1332.json|128,R,R_current_q_G0,0.0026905753198178672,DEPLOYABLE_CURRENT_OR_PAST,0.0002728551723764287
formal,test/algebra/1332.json|128,R,R_current_q_G1,1.9478491935878992,DEPLOYABLE_CURRENT_OR_PAST,0.0002728551723764287
formal,test/algebra/1332.json|128,R,R_current_q_G2,1.5805303163360804,DEPLOYABLE_CURRENT_OR_PAST,0.0002728551723764287
formal,test/algebra/1332.json|128,R,R_current_q_G3,1.468458034680225,DEPLOYABLE_CURRENT_OR_PAST,0.0002728551723764287
formal,test/algebra/1332.json|128,R,R_past16_G3,1.4064994078798918,DEPLOYABLE_CURRENT_OR_PAST,0.0002728551723764287
formal,test/algebra/1332.json|128,R,R_past64_G3,1.442761678414172,DEPLOYABLE_CURRENT_OR_PAST,0.0002728551723764287
formal,test/algebra/1332.json|128,R,R_past256_G3,1.4192742057750554,DEPLOYABLE_CURRENT_OR_PAST,0.0002728551723764287
formal,test/algebra/1332.json|128,R,R_pastEMA_G3,1.087188791600056,DEPLOYABLE_CURRENT_OR_PAST,0.0002728551723764287
formal,test/algebra/1332.json|128,R,R_future_oracle_G3,1.4824153963013487,ORACLE_FUTURE_NOT_DEPLOYABLE,0.0002728551723764287
formal,test/algebra/1332.json|128,C,R_current_q_G0,0.0003259168327929274,DEPLOYABLE_CURRENT_OR_PAST,0.00016010373975861025
formal,test/algebra/1332.json|128,C,R_current_q_G1,6.580928962677717,DEPLOYABLE_CURRENT_OR_PAST,0.00016010373975861025
formal,test/algebra/1332.json|128,C,R_current_q_G2,0.8104461755392549,DEPLOYABLE_CURRENT_OR_PAST,0.00016010373975861025
formal,test/algebra/1332.json|128,C,R_current_q_G3,0.5529321707945201,DEPLOYABLE_CURRENT_OR_PAST,0.00016010373975861025
formal,test/algebra/1332.json|128,C,R_past16_G3,0.6067176857047798,DEPLOYABLE_CURRENT_OR_PAST,0.00016010373975861025
formal,test/algebra/1332.json|128,C,R_past64_G3,0.6369004723754301,DEPLOYABLE_CURRENT_OR_PAST,0.00016010373975861025
formal,test/algebra/1332.json|128,C,R_past256_G3,0.6415025423920033,DEPLOYABLE_CURRENT_OR_PAST,0.00016010373975861025
formal,test/algebra/1332.json|128,C,R_pastEMA_G3,0.5300960762397153,DEPLOYABLE_CURRENT_OR_PAST,0.00016010373975861025
formal,test/algebra/1332.json|128,C,R_future_oracle_G3,0.6334370120094945,ORACLE_FUTURE_NOT_DEPLOYABLE,0.00016010373975861025
formal,test/algebra/1332.json|256,R,R_current_q_G0,0.0030013584481878297,DEPLOYABLE_CURRENT_OR_PAST,0.0004853808461824319
formal,test/algebra/1332.json|256,R,R_current_q_G1,2.278220050036907,DEPLOYABLE_CURRENT_OR_PAST,0.0004853808461824319
formal,test/algebra/1332.json|256,R,R_current_q_G2,1.7066807261435315,DEPLOYABLE_CURRENT_OR_PAST,0.0004853808461824319
formal,test/algebra/1332.json|256,R,R_current_q_G3,1.8884882520651445,DEPLOYABLE_CURRENT_OR_PAST,0.0004853808461824319
formal,test/algebra/1332.json|256,R,R_past16_G3,1.5595628244700492,DEPLOYABLE_CURRENT_OR_PAST,0.0004853808461824319
formal,test/algebra/1332.json|256,R,R_past64_G3,1.560961223756749,DEPLOYABLE_CURRENT_OR_PAST,0.0004853808461824319
formal,test/algebra/1332.json|256,R,R_past256_G3,1.509826828159538,DEPLOYABLE_CURRENT_OR_PAST,0.0004853808461824319
formal,test/algebra/1332.json|256,R,R_pastEMA_G3,1.2568696943344548,DEPLOYABLE_CURRENT_OR_PAST,0.0004853808461824319
formal,test/algebra/1332.json|256,R,R_future_oracle_G3,1.6509027704969412,ORACLE_FUTURE_NOT_DEPLOYABLE,0.0004853808461824319
formal,test/algebra/1332.json|256,C,R_current_q_G0,0.0004907909008267097,DEPLOYABLE_CURRENT_OR_PAST,0.00010580278440220769
formal,test/algebra/1332.json|256,C,R_current_q_G1,8.754674479365349,DEPLOYABLE_CURRENT_OR_PAST,0.00010580278440220769
formal,test/algebra/1332.json|256,C,R_current_q_G2,0.4953094500924635,DEPLOYABLE_CURRENT_OR_PAST,0.00010580278440220769
formal,test/algebra/1332.json|256,C,R_current_q_G3,0.39176985131416586,DEPLOYABLE_CURRENT_OR_PAST,0.00010580278440220769
formal,test/algebra/1332.json|256,C,R_past16_G3,0.3872623928307348,DEPLOYABLE_CURRENT_OR_PAST,0.00010580278440220769
formal,test/algebra/1332.json|256,C,R_past64_G3,0.38346988115341674,DEPLOYABLE_CURRENT_OR_PAST,0.00010580278440220769
