layer,n_random,q10,q25,median,q75,q90,q95,max
0,256,0.9422225952148438,0.9619140326976776,0.981756865978241,1.0015396773815155,1.043199896812439,1.0811066925525665,1.1492972373962402
1,256,1.0022855401039124,1.0136847496032715,1.0266228914260864,1.0454053282737732,1.0661644339561462,1.0885149538516998,1.1421737670898438
2,256,1.0193291902542114,1.027293473482132,1.0370111465454102,1.0478637516498566,1.0600117444992065,1.0692051947116852,1.1351219415664673
4,256,1.005895972251892,1.016832172870636,1.0299025177955627,1.0402818620204926,1.0558738708496094,1.0710326433181763,1.1010382175445557
5,256,0.9872725605964661,0.9985240995883942,1.0086398124694824,1.02031672000885,1.0308518409729004,1.0425120890140533,1.0719853639602661
6,256,0.9907484948635101,1.0004092454910278,1.010261356830597,1.0218245685100555,1.0328655242919922,1.0414543151855469,1.0589479207992554
8,256,0.9757994413375854,0.985813558101654,0.9976818561553955,1.0097358226776123,1.0190461874008179,1.0259270370006561,1.0602777004241943
9,256,0.9866601824760437,0.9945299625396729,1.0041782855987549,1.0153416097164154,1.0269399881362915,1.0344167053699493,1.0610289573669434
10,256,0.9778333902359009,0.9865152835845947,0.9987421929836273,1.0103268027305603,1.0238483548164368,1.0299732089042664,1.056004285812378
12,256,0.9580126404762268,0.9674729704856873,0.979844868183136,0.9910902678966522,1.0065184831619263,1.0130705535411835,1.0547579526901245
13,256,0.9710566699504852,0.9820574373006821,0.9935313165187836,1.005090445280075,1.0185927748680115,1.0265167653560638,1.061434268951416
14,256,0.945670485496521,0.9553910791873932,0.9671906530857086,0.9790188819169998,0.9921037256717682,0.9983111023902893,1.0313986539840698
16,256,0.9401752650737762,0.9505432993173599,0.9659799635410309,0.9791079312562943,0.9891349971294403,0.9932442456483841,1.0307692289352417
17,256,0.9581705927848816,0.9696619212627411,0.9814227521419525,0.9913336634635925,1.0018844604492188,1.0093514025211334,1.020894169807434
18,256,0.935403972864151,0.9463303685188293,0.9538455307483673,0.9638180285692215,0.9722664654254913,0.9789819568395615,1.0074739456176758
20,256,0.9415192604064941,0.9490355998277664,0.9571738839149475,0.9659426212310791,0.9728981554508209,0.9758154898881912,0.9882728457450867
21,256,0.9524703621864319,0.9592002928256989,0.9673210382461548,0.9761708229780197,0.9822302460670471,0.985154002904892,1.0093309879302979
22,256,0.9749722480773926,0.9806930273771286,0.9896834194660187,0.9982099086046219,1.005458414554596,1.0082139670848846,1.0242972373962402
24,256,0.9652049839496613,0.9720755815505981,0.9817217290401459,0.9902775138616562,0.9979076683521271,1.0017503798007965,1.0118519067764282
25,256,0.9962768256664276,1.0033654272556305,1.0151447653770447,1.0233215689659119,1.0311603546142578,1.036879688501358,1.0493144989013672
26,256,1.003604233264923,1.0104202628135681,1.0201923251152039,1.0298843085765839,1.0368472337722778,1.0409368872642517,1.0694881677627563
28,256,1.0050610303878784,1.0125847160816193,1.0214751362800598,1.0311577916145325,1.0387402176856995,1.045759677886963,1.064145803451538
29,256,1.0276836156845093,1.0379569232463837,1.0475504398345947,1.0576635897159576,1.0674973130226135,1.0731238424777985,1.0910940170288086
30,256,1.0379928946495056,1.0459705889225006,1.0574089884757996,1.0717875361442566,1.088736355304718,1.096939891576767,1.1498968601226807
