unit_id,layer,head,Q_RC_orthogonality_error,Q_CR_orthogonality_error,R_to_CV_source_norm_rel_error,C_to_RV_source_norm_rel_error,R_to_CV_sv_rel_error,C_to_RV_sv_rel_error
test/counting_and_probability/119.json|256,0,0,2.2854196347381353e-15,2.2870159959934107e-15,9.13670630568978e-16,2.436455147940402e-15,2.1498065099373545e-16,3.110835586780695e-16
test/counting_and_probability/119.json|256,0,1,2.14990595376846e-15,2.147841474776178e-15,1.0485134185669515e-15,2.62128341767304e-16,5.658001467480672e-16,3.793841166440041e-16
test/counting_and_probability/119.json|256,0,2,2.3894571354003545e-15,2.3924989977892444e-15,8.937566484833155e-16,6.383975114724932e-16,1.0255852303318202e-15,1.5566771839886225e-16
test/counting_and_probability/119.json|256,0,3,2.439735134656941e-15,2.4428397715145862e-15,8.388158915111661e-16,1.4679277269989637e-15,8.826312449156843e-16,6.323001358718406e-16
test/counting_and_probability/119.json|256,0,4,2.2000871477060173e-15,2.207007907601934e-15,3.8628512882286314e-16,3.862851613663076e-16,5.89520657167169e-16,1.7276881786917124e-16
test/counting_and_probability/119.json|256,0,5,2.26720328765911e-15,2.2678182389481957e-15,2.6331549193852416e-15,2.194295812936524e-16,4.576798685334283e-16,4.465009694527848e-16
test/counting_and_probability/119.json|256,0,6,2.2337474580613078e-15,2.2400564447888135e-15,2.2776184210555002e-15,1.3186211015356583e-15,8.755316525505098e-16,4.851279406134739e-16
test/counting_and_probability/119.json|256,0,7,2.3867038112442167e-15,2.3915504051585456e-15,2.1639759013035257e-15,1.6645968063562133e-16,4.898035116683067e-16,1.8220724815942025e-16
test/counting_and_probability/119.json|256,0,8,2.323934152649837e-15,2.3260486308381957e-15,1.7630126539434314e-15,0.0,4.678159618389414e-16,2.8969082493175227e-16
test/counting_and_probability/119.json|256,0,9,2.291101870417358e-15,2.2866602198343853e-15,1.776663508250277e-15,1.3666642679277243e-16,4.542347105251356e-16,2.9484263283139233e-16
