layer,head,column_highF,column_lowF,column_inside_mag_mask,column_outside_mag_mask,magnitude_highF,magnitude_lowF,mag_rel_gap,functional_high,functional_low,functional_gap,functional_percentile_gap,error_only_high,error_only_low,error_rel_gap,functional_only_high,functional_only_low,pair_id
12,22,9,34,34,9,0.002098282624501735,0.002098363339124868,3.8466253190907605e-05,1.5490184424778637e-06,5.4833235433685935e-08,1.4941852070441777e-06,0.6875,2.7498577518751216e-07,3.230557013012003e-07,0.16075729609466088,112989.81302388509,4770.1493733723955,p000_L12_H22_V9_V34
25,23,24,124,24,124,0.0024773590218198174,0.0024771984511365495,6.48173662651211e-05,5.341725372217295e-08,9.804477529186164e-09,4.3612776192986785e-08,0.390625,7.13173021675099e-07,5.714901050168919e-07,0.2205756406310183,690.1045659383138,888.5248222351074,p001_L25_H23_V24_V124
13,22,61,88,88,61,0.00023928208429424558,0.0002393011212310133,7.955538960992084e-05,1.3164178432072355e-06,1.0909041704698641e-08,1.305508801502537e-06,0.703125,3.3404601085251784e-08,2.6335064573501654e-08,0.2366702178051606,489226.9025964737,24927.482208251953,p002_L13_H22_V61_V88
30,2,118,88,118,88,0.00851646123919636,0.008515178691595793,0.00015060764619594455,3.6323682158704664e-05,8.58303285093213e-07,3.546537887361145e-05,0.703125,1.4894798188909892e-06,1.399360021044534e-06,0.06239164539964333,104796.98881022136,23001.75732421875,p003_L30_H2_V118_V88
28,24,55,108,55,108,0.1085788222650687,0.10856148848930995,0.00015965507001775435,3.227875590520549e-05,1.8149572144447272e-06,3.0463798690760765e-05,0.546875,8.335411166626727e-06,9.770804050882967e-06,0.1585524869179342,30636.118082682293,27407.794596354168,p004_L28_H24_V55_V108
18,24,50,108,50,108,0.0003625605216560264,0.00036249487796643126,0.00018107220344341102,4.850128490829775e-06,7.485166904075413e-07,4.1016118004222335e-06,0.703125,2.763208669283775e-08,1.5167346045785735e-08,0.5824450187530282,1507506.03125,1526645.1354166667,p005_L18_H24_V50_V108
16,31,105,93,105,93,0.002903181128203869,0.002902414455699424,0.00026411502251608355,3.763251531078519e-05,3.251735778420084e-07,3.730734173294318e-05,0.4375,7.98634213576103e-07,2.4827624163966294e-07,1.0513925384964735,4741135.166666667,171069.81811523438,p006_L16_H31_V105_V93
30,15,11,41,41,11,0.00025629610748486204,0.00025638972025869106,0.000365185727391163,7.830527778196483e-06,2.8318413993385267e-08,7.802209364203097e-06,0.65625,7.2513694400940425e-09,1.1208931079605596e-08,0.4287181475882442,15892651.0,29682.176106770832,p007_L30_H15_V11_V41
29,20,72,109,109,72,0.004354716181599845,0.004356827024215211,0.00048460819512950623,4.784848167312579e-06,5.808703753388116e-07,4.203977791973767e-06,0.625,1.063165053475738e-06,1.2311522432639777e-06,0.14643749893657226,71377.568359375,58141.85845438639,p008_L29_H20_V72_V109
4,1,86,46,46,86,4.319175436625263e-05,4.321568705260385e-05,0.0005539496461017523,3.902272250963743e-08,2.6981444069725433e-09,3.632457810266489e-08,0.578125,1.1806718969179531e-08,1.334516438096974e-08,0.12232269589348155,218943.70971679688,23001.151814778645,p009_L4_H1_V86_V46
26,16,46,62,62,46,0.04781313675145308,0.047841678373515606,0.0005967628921689174,5.469641937668375e-06,3.367807972683619e-07,5.1328611404000135e-06,0.7734375,4.6434042057323195e-06,2.9055656038205293e-06,0.46041729807830034,31703.79903157552,112521.64409128825,p010_L26_H16_V46_V62
0,17,2,57,2,57,0.0069215976012249785,0.0069174667199452715,0.0005969885222356786,2.8760571395512282e-09,9.358576530823914e-11,2.782471374242989e-09,0.703125,2.2665757152632673e-06,2.0813666120981602e-06,0.08519387058366601,23.38905347386996,1.3962798441449802,p011_L0_H17_V2_V57
