condition,layer_id,input_rel_l2,rotation_rel_l2,core_rel_l2,post_norm_rel_l2,post_gate_rel_l2,out_proj_rel_l2
hadamard,0,0.0,0.001756786834448576,0.0023806029930710793,0.002997241448611021,0.0,0.0030238120816648006
hadamard,1,0.0035845646634697914,0.00447383988648653,0.00559631921350956,0.005846256390213966,0.0016427920199930668,0.004682464525103569
hadamard,10,0.02889087237417698,0.031714487820863724,0.033272936940193176,0.03744542971253395,0.009262789972126484,0.045606520026922226
hadamard,12,0.03297631815075874,0.041522033512592316,0.050257738679647446,0.062419869005680084,0.012374849990010262,0.06209671497344971
hadamard,13,0.18582898378372192,0.1151856780052185,0.15847373008728027,0.23725537955760956,0.06334727257490158,0.2567026913166046
hadamard,14,0.1740725338459015,0.051203928887844086,0.09915496408939362,0.11829791963100433,0.06676201522350311,0.1263718158006668
hadamard,16,0.19894777238368988,0.09934847801923752,0.17084699869155884,0.21528691053390503,0.08460364490747452,0.18770356476306915
hadamard,17,0.1895459145307541,0.11045321822166443,0.16334494948387146,0.25100964307785034,0.08326466381549835,0.2502897083759308
hadamard,18,0.2056056410074234,0.0823986604809761,0.11168929189443588,0.1600799411535263,0.07118665426969528,0.16522735357284546
hadamard,2,0.0065521178767085075,0.005247798282653093,0.003832973539829254,0.005685507785528898,0.0029185358434915543,0.006970004644244909
hadamard,20,0.19432879984378815,0.06336507201194763,0.14322447776794434,0.17873944342136383,0.07630901038646698,0.2083539366722107
hadamard,21,0.19489946961402893,0.09697189182043076,0.12120901793241501,0.1815723031759262,0.05032743886113167,0.17871622741222382
hadamard,22,0.19433708488941193,0.08090727031230927,0.09983997046947479,0.12530893087387085,0.04821904003620148,0.13204453885555267
hadamard,4,0.010388698428869247,0.007999914698302746,0.009059040807187557,0.011080031283199787,0.004362925887107849,0.013089057058095932
hadamard,5,0.011613858863711357,0.009394709020853043,0.00968125369399786,0.012921259738504887,0.004511795472353697,0.016659775748848915
hadamard,6,0.012698589824140072,0.023050885647535324,0.02602206915616989,0.0348612405359745,0.005068718921393156,0.045174699276685715
hadamard,8,0.02746279537677765,0.032435763627290726,0.048066720366477966,0.04021861031651497,0.009391941130161285,0.04591376706957817
