condition,phase,problem_id,token,logit_max_abs,logit_relative_l2,logit_cosine,logit_nonfinite,logit_top1_match,logit_top20_overlap,state_relative_l2,state_max_abs,state_cosine,state_nonfinite
identity,primary,test/algebra/1332.json,0,0.0,0.0,0.9999998807907104,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,1,0.0,0.0,1.0,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,2,0.0,0.0,1.0000001192092896,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,3,0.0,0.0,0.9999999403953552,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,4,0.0,0.0,1.0,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,5,0.0,0.0,1.0,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,6,0.0,0.0,1.0,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,7,0.0,0.0,1.0,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,8,0.0,0.0,1.0000001192092896,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,9,0.0,0.0,1.0,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,10,0.0,0.0,1.0,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,11,0.0,0.0,1.0,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,12,0.0,0.0,1.0,0,1,1.0,0.0,0.0,1.0000001192092896,0
identity,primary,test/algebra/1332.json,13,0.0,0.0,1.0,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,14,0.0,0.0,1.0000001192092896,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,15,0.0,0.0,1.0000001192092896,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,16,0.0,0.0,0.9999999403953552,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,17,0.0,0.0,0.9999998807907104,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,18,0.0,0.0,1.0,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,19,0.0,0.0,1.0,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,20,0.0,0.0,1.0,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,21,0.0,0.0,0.9999999403953552,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,22,0.0,0.0,1.0000001192092896,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,23,0.0,0.0,0.9999998807907104,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,24,0.0,0.0,1.0000001192092896,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,25,0.0,0.0,1.0,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,26,0.0,0.0,0.9999999403953552,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,27,0.0,0.0,1.0000001192092896,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,28,0.0,0.0,1.0,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,29,0.0,0.0,1.0,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,30,0.0,0.0,1.0000001192092896,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,31,0.0,0.0,0.9999999403953552,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,32,0.0,0.0,0.9999999403953552,0,1,1.0,0.0,0.0,1.0,0
identity,primary,test/algebra/1332.json,33,0.0,0.0,1.0000001192092896,0,1,1.0,0.0,0.0,1.0,0
