fp_available,fp_common_prefix_tokens,fp_finish_type,fp_first_gold_candidate_pos,fp_first_gold_strong_candidate_pos,fp_repeated_16gram_fraction,fp_self_correction_count,fp_tokens,fp_v4_correct,hadamard_available,hadamard_common_prefix_tokens,hadamard_finish_type,hadamard_first_gold_candidate_pos,hadamard_first_gold_strong_candidate_pos,hadamard_repeated_16gram_fraction,hadamard_self_correction_count,hadamard_tokens,hadamard_v4_correct,model,native_first_gold_candidate_pos,native_tokens,native_v4_correct,problem_id,seed
True,71,eos,15672,,0.01960283506800331,65,15676,True,True,65,eos,16948,16948,0.029936702293244744,95,19289,True,qwen,,81920,False,aime26_03,2
True,48,eos,17338,17338,0.04389297870656217,151,25281,True,True,35,eos,20834,20834,0.043718547807332864,147,22271,True,qwen,79966,81920,False,aime26_04,1
True,202,eos,22013,22067,0.04705775682292135,137,22073,True,True,81,eos,24098,24098,0.23475546918705648,200,33978,False,qwen,32884,81920,False,aime26_04,2
True,52,eos,34758,34758,0.036286725561854305,182,34766,True,True,120,eos,35501,35501,0.08152364509428367,204,37084,True,qwen,,81920,False,aime26_09,1
True,2,eos,,,0.04127858161013809,303,51228,False,True,2,eos,,,0.03193492155723421,276,43040,False,qwen,,81920,False,aime26_10,1
True,583,eos,,,0.033463643471462134,236,44780,False,True,84,eos,41474,,0.08606862515688485,282,47024,False,qwen,,81920,False,aime26_10,2
True,234,eos,35278,35278,0.03244107483624736,210,38793,True,True,56,eos,,,0.021612961731455216,129,33097,False,qwen,,81920,False,aime26_11,1
True,102,eos,,,0.027473568532343062,325,52793,True,True,318,eos,36707,36707,0.02883803807558849,214,42667,True,qwen,,81920,False,aime26_11,2
True,37,eos,25929,,0.04591226513368574,128,25934,True,True,37,eos,20006,20006,0.03284065912862266,146,25928,True,qwen,,81920,False,aime26_12,2
True,231,eos,,,0.056935239159945694,128,25061,True,True,208,eos,,,0.20198937492935454,215,44250,False,qwen,74699,81920,False,aime26_13,1
True,273,eos,33415,33415,0.060074902550253495,232,39266,True,True,273,eos,,,0.2173700372292725,497,36814,False,qwen,30659,81920,False,aime26_13,2
True,142,eos,21430,21430,0.06642586556250551,104,22717,True,True,114,eos,31673,31673,0.07263136071502618,281,43426,True,qwen,,81920,False,aime26_14,2
True,46,length,,,0.020938892619498217,522,81920,False,True,113,eos,,,0.06770958684316086,328,37410,False,qwen,,81920,False,aime26_15,1
True,42,eos,,,0.015250610325808545,468,66373,False,True,63,eos,,,0.006902682633478041,276,57384,False,qwen,,81920,False,aime26_15,2
True,289,eos,39094,39094,0.029152166237958355,254,39669,True,True,71,eos,52405,52405,0.015339120480778456,412,52430,True,qwen,,81920,False,aime26_17,1
True,37,eos,46066,,0.025534132360604533,269,46071,True,True,145,eos,,,0.15669547648445392,320,53469,False,qwen,,81920,False,aime26_17,2
True,127,eos,,,0.011636786792247,149,27514,True,True,61,eos,44252,44252,0.017457465919898607,299,47330,True,qwen,,81920,False,aime26_18,1
True,79,eos,25558,,0.021470941446195324,117,27494,True,True,79,eos,,,0.017276397281913658,263,39896,False,qwen,,81920,False,aime26_18,2
True,135,eos,15730,15730,0.031396309556596,80,18170,True,True,231,eos,12772,12772,0.039632561095383934,66,17324,True,qwen,,81920,False,aime26_19,2
True,332,eos,42938,,0.01844992661961009,297,42942,True,True,153,eos,32193,32193,0.03669291803085273,160,33918,True,qwen,,81920,False,aime26_21,1
True,137,eos,25166,25166,0.0337856940910376,155,28311,True,True,78,eos,17233,17233,0.18809302989227372,133,28049,False,qwen,,81920,False,aime26_22,1
True,22,eos,13611,,0.044320869817819686,126,24112,True,True,22,eos,,,0.17299451918286002,165,30120,True,qwen,,81920,False,aime26_22,2
True,32,eos,26563,26563,0.08122489615160144,142,29144,True,True,42,eos,25841,25841,0.042525630112143276,143,27034,True,qwen,25296,81920,False,aime26_23,2
True,150,eos,24515,24515,0.08710536325599083,149,31563,True,True,226,eos,25123,25123,0.07306172201085948,114,27088,True,qwen,,81920,False,aime26_24,1
True,103,eos,21334,,0.06767023072594258,71,21339,True,True,103,eos,17155,17155,0.06114070128717264,132,27051,True,qwen,81071,81920,False,aime26_24,2
True,40,eos,,,0.034211165469622884,142,28836,True,True,122,eos,,,0.02637469982498275,137,24584,True,qwen,,81920,False,aime26_25,2
True,122,eos,25315,33437,0.03462951087273358,175,34321,True,True,120,eos,19638,26699,0.04840582968041662,126,26706,True,qwen,,81920,False,aime26_26,1
True,217,eos,26921,26921,0.053950358586902,153,33898,True,True,229,eos,,,0.3033348684745212,475,36928,False,qwen,63714,81920,False,aime26_26,2
True,58,eos,25732,25732,0.0342661551192357,143,26601,True,True,58,eos,25567,25567,0.03027043068590718,150,26972,True,qwen,,81920,False,aime26_27,1
True,39,length,,,0.011403455222513847,488,81920,False,True,39,eos,,,0.1979798915813371,469,64764,False,qwen,,81920,False,aime26_28,1
True,121,length,,,0.5270007936023442,227,81920,False,True,78,eos,,,0.0607895374182611,226,41305,False,qwen,,81920,False,aime26_28,2
True,237,eos,28158,28158,0.018841118966275383,158,29578,True,True,189,eos,32135,32135,0.019760479041916135,215,35085,True,qwen,,81920,False,aime26_29,1
True,227,eos,22692,22692,0.02185731307715222,148,26871,True,True,235,eos,,,0.015880317168265656,492,45669,False,qwen,,81920,False,aime26_29,2
True,2,eos,,,0.017750611963707308,420,68238,False,True,2,eos,,,0.015987227248536406,290,46990,False,qwen,,81920,False,aime26_30,1
True,2,eos,,,0.030423418714061734,135,28710,False,True,2,eos,,,0.03660540863588824,179,33480,False,qwen,,81920,False,aime26_30,2
